numbers_id,release_date,production_budget,domestic_gross_revenue,worldwide_gross_revenue,year,imdb_id,production_budget_infAdj,domestic_gross_revenue_infAdj,worldwide_gross_revenue_infAdj,profit,profit_infAdj,roi,kim_id,mpaa,sex,violence,language,type,metacritic_rating,tmdb_rating,rt_rating,fa_rating,genres,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,genre_\N,genre__NULL
25.0,2017-04-07,250000000.0,225764765.0,1236703796.0,2017,tt4630562,304842520.24984044,275290799.78485185,1507999607.9007382,986703796.0,1203157087.6508977,3.946815184,1625.0,PG-13,4.0,6.0,5.0,Movie,56.0,6.9,67.0,5.5,"Action,Crime,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,2021-09-29,250000000.0,160891007.0,759959662.0,2021,tt2382320,282690000.0,181929115.07532,859331987.40312,509959662.0,576641987.40312,2.039838648,3614.0,PG-13,4.0,7.0,5.0,Movie,68.0,7.4,83.0,6.2,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.0,2009-12-17,237000000.0,785221649.0,2923706026.0,2009,tt0499549,322125063.2313981,1067255583.6910872,3973835394.4948087,2686706026.0,3651710331.2634106,11.336312345991562,301.0,PG-13,5.0,7.0,4.0,Movie,83.0,7.6,82.0,7.2,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,2006-06-28,232000000.0,200120000.0,391081192.0,2006,tt0348150,347647458.277993,299875902.3732412,586027510.2548611,159081192.0,238380051.9768681,0.6856947931034483,4819.0,PG-13,3.0,6.0,2.0,Movie,72.0,5.7,74.0,5.1,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,2012-07-19,230000000.0,448139099.0,1082228107.0,2012,tt1345836,299222535.1145698,583014422.9858224,1407943642.3860083,852228107.0,1108721107.2714386,3.7053395956521737,1148.0,PG-13,2.0,7.0,3.0,Movie,78.0,7.8,87.0,7.5,"Action,Drama,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,2017-05-23,230000000.0,172558876.0,794861794.0,2017,tt1790809,280455118.6298532,210413130.60527882,969230690.133078,564861794.0,688775571.5032248,2.455920843478261,3883.0,PG-13,4.0,7.0,3.0,Movie,39.0,6.6,30.0,5.4,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,2008-11-14,230000000.0,169368427.0,591692078.0,2008,tt0830515,324615076.37840194,239041499.42041215,835096387.3585451,361692078.0,510481310.98014313,1.572574252173913,4029.0,PG-13,5.0,7.0,4.0,Movie,58.0,6.3,64.0,5.9,"Action,Adventure,Mystery",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32.0,2012-04-25,225000000.0,623357910.0,1515100211.0,2012,tt0848228,292717697.39468783,810968409.1909558,1971096200.3827808,1290100211.0,1678378502.988093,5.733778715555555,303.0,PG-13,2.0,7.0,3.0,Movie,69.0,7.7,91.0,6.9,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33.0,2006-07-06,225000000.0,423315812.0,1066179725.0,2006,tt0383574,337158095.31270874,634330457.2874342,1597649445.964567,841179725.0,1260491350.6518583,3.7385765555555555,3882.0,PG-13,3.0,7.0,2.0,Movie,53.0,7.3,53.0,6.4,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,2013-06-14,225000000.0,291045518.0,667999518.0,2013,tt0770828,286781323.9881335,370961862.19045395,851421271.9798889,442999518.0,564639947.9917555,1.9688867466666666,3144.0,PG-13,3.0,6.0,3.0,Movie,55.0,6.6,56.0,5.8,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
