"numbers_id","release_date","production_budget","domestic_gross_revenue","worldwide_gross_revenue","year","imdb_id","production_budget_infAdj","domestic_gross_revenue_infAdj","worldwide_gross_revenue_infAdj","profit","profit_infAdj","roi","kim_id","mpaa","sex","violence","language","type","metacritic_rating","tmdb_rating","rt_rating","fa_rating","genres","genre_Action","genre_Adult","genre_Adventure","genre_Animation","genre_Biography","genre_Comedy","genre_Crime","genre_Documentary","genre_Drama","genre_Family","genre_Fantasy","genre_Film.Noir","genre_History","genre_Horror","genre_Music","genre_Musical","genre_Mystery","genre_News","genre_Romance","genre_Sci.Fi","genre_Sport","genre_Thriller","genre_War","genre_Western","genre_.N","genre__NULL","metacritic_rating_Zscore","tmdb_rating_Zscore","rt_rating_Zscore","fa_rating_Zscore","mean_Zscore","metacritic_rating_Norm","tmdb_rating_Norm","rt_rating_Norm","fa_rating_Norm","mean_Norm_score","tmdb_rating_x10","fa_rating_x10","years_since_first","release_season"
4260,"2006-04-28",8e+06,18848430,18959424,2006,"tt0437800",11987843.3888963,28244003.3708219,28410325.7069603,10959424,16422482.3180639,1.369928,64,"PG",1,2,3,"Movie",72,7,85,5.8,"Drama,Family",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01635053823215,0.716651990713134,1.1541642706833,0.301305369541756,0.797118042292585,84.5268754848353,76.3205571999798,71.2230820995962,61.8409176616095,73.4778581115052,70,58,69,"summer"
4261,"1994-10-14",8e+06,18090181,18090181,1994,"tt0111686",16209207.9874296,36653438.2949059,36653438.2949059,10090181,20444230.3074763,1.261272625,5381,"R",0,8,5,"Movie",64,6.4,79,4.8,"Fantasy,Horror,Mystery",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.555914678316122,-0.00893198196799186,0.935510027949015,-0.634418759537115,0.212018491190008,71.086540830049,49.6436702125411,64.9730820995962,26.2903785017479,52.9984179109836,64,48,57,"fall"
4262,"1999-10-01",8e+06,17843379,22591451,1999,"tt0164114",14363802.8303929,32037347.2229966,40562393.4770603,14591451,26198590.6466674,1.823931375,1379,"PG-13",4,3,6,"Movie",42,6.5,27,4.3,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.710283936452964,0.111998680145529,-0.95949340908144,-1.10228082407655,-0.665014872366356,23.8764039547039,54.4587773460634,19.0444145356662,13.5169801680776,27.7241440011278,65,43,62,"fall"
4263,"2013-09-18",8e+06,17550872,25621449,2013,"tt2390361",10196669.2973559,22370054.7080278,32656680.2965086,17621449,22460010.9991528,2.202681125,1495,"PG-13",5,2,4,"Movie",78,6.7,95,6.2,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.36167743316918,0.353860004372571,1.51858800857377,0.675595021173304,0.977430116822206,91.3350146927448,63.82780989876,82.6379542395693,75.0351098264455,78.2089721643799,67,62,76,"fall"
4265,"2009-01-30",8e+06,16734283,29937909,2009,"tt1095174",10873419.8559122,22744860.6308317,40690931.7706365,21937909,29817511.9147243,2.742238625,3534,"PG",5,4,4,"Movie",29,5.8,28,4.2,"Comedy,Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.45849220881651,-0.734515954649119,-0.923051035292393,-1.19585323698444,-1.07797810893562,7.23524605585414,23.1317169974659,19.9613055181696,11.5876918276094,15.4789900997747,58,42,72,"early_year"
4267,"2000-04-14",8e+06,15070285,34270285,2000,"tt0144084",14055976.9355053,26478447.2964365,60212791.9416493,26270285,46156815.0061439,3.283785625,148,"R",10,9,8,"Movie",64,7.4,68,6.6,"Crime,Drama,Horror",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555914678316122,1.20037463916722,0.534643916269496,1.04988467280485,0.835204476639422,71.086540830049,88.5003063128033,54.8536339165545,85.3114430356403,74.9379810237618,74,66,63,"early_year"
4269,"2002-08-07",8e+06,14018296,16585503,2002,"tt0279113",13222228.9282048,23169139.8619172,27412164.6944285,8585503,14189935.7662237,1.073187875,1975,"R",7,4,5,"Movie",71,6.3,82,5.9,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.958796055742649,-0.129862644081514,1.04483714931616,0.394877782449643,0.567162085856734,83.1169251697719,44.8337549829209,68.1022880215343,65.3533456306306,65.3515784512144,63,59,65,"summer"
4272,"2011-04-29",8e+06,10130219,10763183,2011,"tt1604171",10736624.9469284,13595545.254156,14445032.3882694,2763183,3708407.44134104,0.345397875,3988,"PG",4,2,2,"Movie",50,6.2,35,4.3,"Comedy,Drama,Family",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249848076536933,-0.250793306195034,-0.667954418769062,-1.10228082407655,-0.567719156394395,40.13524193918,40.0986958552712,25.7318304172275,13.5169801680776,29.8706870949391,62,43,74,"summer"
4273,"1994-04-22",8e+06,8864699,8864699,1994,"tt0110137",16209207.9874296,17961218.7296199,17961218.7296199,864699,1752010.7421903,0.108087375,2478,"R",7,1,7,"Movie",NA,5.6,22,NA,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,-0.976377278876161,-1.14170527802668,NA,NA,NA,16.4438768387445,15.0656123822342,NA,NA,56,NA,57,"summer"
4275,"2015-06-12",8e+06,6758416,9266180,2015,"tt2582496",9889726.59994222,8354860.81108439,11454998.3532316,1266180,1565271.75328935,0.1582725,3221,"PG-13",4,4,5,"Movie",74,7.6,81,7.1,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.13145950321116,1.44223596339426,1.00839477552711,1.51774673734429,1.2749592448692,87.1069130462254,92.5382090844582,67.0760430686406,93.5460871536098,85.0668130882335,76,71,78,"summer"
